,name,indices,number_of_questions,is_human,gender
0,& Brie,[214417],1,False,
1,& Judy,[223978],1,False,
2,/or Clinton,[118823],1,True,female
3,3rd Rock,[101408],1,False,
4,A. A. Milne,"[38960, 146887]",2,True,male
5,A. Bartlett Giamatti,"[29611, 127457]",2,True,male
6,A.A. Milne,"[228485, 243989, 333575, 30802, 44284, 52545, 67090, 68590, 72774, 87432, 89565, 118429, 121431, 128201, 133139, 152514, 163026, 202505, 229237, 240326, 260777, 276730, 302513, 337008]",24,True,male
7,A.B. Dick,[158457],1,False,
8,A.J.,[168151],1,False,
9,A.J. Foyt,"[217894, 261226, 93766, 181369, 210335]",5,True,male
10,A.K.,[279461],1,False,
11,A.S. Byatt,[147806],1,True,female
12,Aardvarks,[56432],1,False,
13,Aaron,"[338926, 5679, 10587, 39388, 44953, 53084, 53709, 56371, 57851, 72121, 73117, 91705, 94158, 104454, 109424, 116020, 116795, 144402, 151397, 159483, 160934, 167858, 177941, 183928, 185800, 250220, 268349, 291701, 295540, 296940, 313164, 112647]",32,False,male
14,Aaron Boone,[335452],1,True,male
15,Aaron Burr,"[155690, 161243, 161453, 170404, 245010, 280776, 288219, 293732, 334836, 4250, 7092, 10445, 14233, 16767, 18390, 20123, 22839, 30364, 41163, 44609, 49413, 55623, 56202, 60304, 62219, 62669, 74495, 79306, 80927, 81750, 88895, 101092, 108128, 112005, 115445, 121893, 123294, 123927, 124515, 124823, 128419, 146561, 154666, 164781, 167831, 171741, 175368, 181045, 184078, 185548, 186414, 194120, 194940, 198750, 199714, 201452, 207172, 207377, 207932, 217685, 232841, 240712, 250942, 257166, 264511, 268283, 276649, 278962, 290314, 296298, 315269, 319070, 327564, 331530, 334213, 341923, 134506, 153708, 194461, 229539]",80,True,male
16,Aaron Burr & Thomas Jefferson,[98824],1,True,male
17,Aaron Carter,[122870],1,True,male
18,Aaron Copland,"[46222, 164915, 213310, 234849, 257168, 303326, 29042, 43343, 65443, 67680, 92402, 108229, 134166, 157210, 201218, 210391, 230288, 250499, 275556, 276874, 323070, 334449]",22,True,male
19,Aaron Eckhart,[277220],1,True,male
20,Aaron Hernandez,[345315],1,True,male
21,Aaron Moses',[34473],1,False,male
22,Aaron Rodgers,"[248926, 276867]",2,True,male
23,Aaron Sorkin,"[285577, 301750, 286681, 325242]",4,True,male
24,Aaron Spelling,"[257167, 24519, 59337, 129515, 300087]",5,True,male
